station_name,latitude,longitude,province,source,district
"Ngo Quyen District, Hai Phong, Vietnam",20.8658566,106.704599,,tomtom_fix,
"Phuong Cau Dat, Ngo Quyen District, Hai Phong, Vietnam",20.861362,106.705175,,tomtom_fix,
"Ba Dinh, Hanoi, Hanoi, Vietnam",21.0386287,105.8380479,,tomtom_geocoding,
"Chuong My, Hanoi, Vietnam",20.921719,105.704747,,tomtom_geocoding,
"Hanoi, Hanoi, Vietnam",20.999105,105.699893,,tomtom_fix,
"Hanoi, Vietnam",21.0491,105.8831,,aqicn_fuzzy,
"Xuan Mai Town Committee, Chuong My, Hanoi, Vietnam",20.913078,105.733435,,tomtom_geocoding,
"Duong Ngo Quang Tham, Ho Chi Minh City, Ho Chi Minh, Vietnam",10.661527,106.699552,,tomtom_geocoding,
"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",10.7793648,106.6465108,,tomtom_geocoding,
"Ho Chi Minh City US Consulate, Ho Chi Minh City, Ho Chi Minh, Vietnam",10.7765276,106.7010805,,tomtom_geocoding,
"Ho Chi Minh City, Ho Chi Minh, Vietnam",10.7765276,106.7010805,,tomtom_geocoding,
"Long An TT van hoa huyen Can Giuoc, Ho Chi Minh City, Ho Chi Minh, Vietnam",10.383955,106.909385,,tomtom_geocoding,
"Long An xa Duc Lap Ha, Ho Chi Minh City, Ho Chi Minh, Vietnam",10.9945159,106.4855995,,tomtom_geocoding,
"Tp Ho Chi Minh Duong Nguyen Van Tao, Ho Chi Minh City, Ho Chi Minh, Vietnam",10.6691085,106.7242962,,tomtom_geocoding,
"Cham Mat, Dan Chu, Hoa Binh Province, Vietnam",20.6525,105.3376,,original,
"Dan Chu, Hoa Binh Province, Vietnam",20.6525,105.3376,,original,
"Hoa Binh Province, Vietnam",20.6525,105.3376,,original,
"Hien Nam, Thanh pho Hung Yen, Hung Yen, Vietnam",20.6464,106.0538,,original,
"Hung Yen So TNMT 437 Nguyen Van Linh, Hung Yen, Hung Yen, Vietnam",20.661683,106.058761,,aqicn_fuzzy,
"Hung Yen, Hung Yen, Vietnam",20.6464,106.0538,,original,
"Hung Yen, Vietnam",20.6464,106.0538,,original,
"Thanh pho Hung Yen, Hung Yen, Vietnam",20.6464,106.0538,,original,
"Nha Trang, Khanh Hoa, Vietnam",12.2467998,109.188338,,tomtom_fix,
"Nha Trang, Nha Trang, Khanh Hoa, Vietnam",12.2588,109.0521,,original,
"Ninh An, Thi xa Ninh Hoa, Khanh Hoa, Vietnam",12.2588,109.0521,,original,
"Thi xa Ninh Hoa, Khanh Hoa, Vietnam",12.2588,109.0521,,original,
"Vinh Luong, Nha Trang, Khanh Hoa, Vietnam",12.2588,109.0521,,original,
"Lam Dong, Vietnam",11.673026,107.970028,,tomtom_fix,
"Phuong 6, Thanh pho a Lat, Lam Dong, Vietnam",11.5755,108.1426,,original,
"Thanh pho a Lat, Lam Dong, Vietnam",11.5755,108.1426,,original,
"Huu Lung District, Lang Son Province, Vietnam",21.505561,106.345104,,tomtom_fix,
"Lang Son Province, Vietnam",21.83897,106.621475,,tomtom_fix,
"Lang Son phuong Chi Lang TP Lang Son, Lang Son, Lang Son, Vietnam",21.597632,106.522357,,tomtom_fix,
"Lang Son xa Hong Phong Cao Loc, Lang Son, Lang Son, Vietnam",22.089139,106.393262,,tomtom_fix,
"Lang Son, Lang Son, Vietnam",14.358781,108.570142,,tomtom_fix,
"Lang Son, Vietnam",21.83897,106.621475,,tomtom_fix,
"Tan Thanh, Huu Lung District, Lang Son Province, Vietnam",21.51459,106.431905,,tomtom_fix,
"Lao Cai Tram gan KCN Tang Loong 2, Lao Cai, Lao Cai, Vietnam",22.4862,103.9505,,original,
"Lao Cai, Lao Cai, Vietnam",22.4862,103.9505,,original,
"Lao Cai, Vietnam",22.476114,103.973453,,tomtom_fix,
"Lao Caikcn Taloong1, Lao Cai, Lao Cai, Vietnam",22.3221386,104.1214227,,aqicn_fuzzy,
"Long An TT van hoa huyen Ben Luc, Tan An, Long An, Vietnam",10.645084,106.485962,,aqicn_fuzzy,
"Long An, Vietnam",10.54551,106.383875,,tomtom_fix,
"Phuong 2, Thanh pho Tan An, Long An, Vietnam",10.6926,106.1408,,original,
"Tan An, Long An, Vietnam",10.6926,106.1408,,original,
"Thanh pho Tan An, Long An, Vietnam",10.6926,106.1408,,original,
"Nghe An Truong Thi, Vinh, Nghe An, Vietnam",19.2483,104.9204,,original,
"Nghe An, Vietnam",19.236818,104.945777,,tomtom_fix,
"Vinh, Nghe An, Vietnam",18.6653068,105.6904611,,tomtom_fix,
"Vinh, Vinh, Nghe An, Vietnam",19.2483,104.9204,,original,
"Ninh Binh Cuc Phuong, Ninh Binh, Ninh Binh, Vietnam",20.25,105.975,,original,
"Ninh Binh, Ninh Binh, Vietnam",20.25,105.975,,original,
"Ninh Binh, Vietnam",21.0353984,106.1025755,,aqicn_fuzzy,
"Ninh Thuan, Vietnam",11.3496566,108.8795216,,tomtom_fix,
"Phu Ha, Thanh pho Phan Rang - Thap Cham, Ninh Thuan, Vietnam",11.6922,108.9,,original,
"Thanh pho Phan Rang - Thap Cham, Ninh Thuan, Vietnam",11.6922,108.9,,original,
"Phu Tho, Vietnam",10.7674659,106.6543333,,tomtom_fix,
"Viet Tri, Phu Tho, Vietnam",21.3737,105.2225,,original,
"Viet Tri, Viet Tri, Phu Tho, Vietnam",21.3737,105.2225,,original,
"Dong Hoi, Quang Binh Province, Vietnam",17.6108,106.425,,original,
"Phuong Dong Hai, Dong Hoi, Quang Binh Province, Vietnam",17.6108,106.425,,original,
"Quang Binh Province, Vietnam",17.6108,106.425,,original,
"An Xuan, Thanh pho Tam Ky, Quang Nam, Vietnam",15.5774,108.4741,,original,
"Quang Nam, Vietnam",21.0390377,107.0284572,,aqicn_fuzzy,
"Thanh pho Tam Ky, Quang Nam, Vietnam",15.5774,108.4741,,original,
"Nguyen Nghiem, Thanh pho Quang Ngai, Quang Ngai, Vietnam",15.1205,108.7243,,original,
"Quang Ngai, Vietnam",15.1205,108.7243,,original,
"Thanh pho Quang Ngai, Quang Ngai, Vietnam",15.1205,108.7243,,original,
"Bach ang, Thanh pho Uong Bi, Quang Ninh, Vietnam",21.0349941,106.7578651,,tomtom_fix,
"Cam Pha, Quang Ninh Province, Vietnam",21.009484,107.273044,,tomtom_fix,
"Cam Pha, Quang Ninh, Vietnam",21.009484,107.273044,Tỉnh Quảng Ninh,tomtom_fix,
"Cam Trung, Cam Pha, Quang Ninh Province, Vietnam",21.0115552,107.2927747,Tỉnh Quảng Ninh,tomtom_fix,
"Ha Long, Ha Long, Quang Ninh, Vietnam",20.941659,107.123648,Tỉnh Quảng Ninh,tomtom_fix,
"Ha Long, Quang Ninh, Vietnam",20.941659,107.123648,Tỉnh Quảng Ninh,tomtom_fix,
"Quang Ninh Gan KCN Cai Lan, Ha Long, Quang Ninh, Vietnam",20.9714019,106.9979764,Tỉnh Quảng Ninh,tomtom_fix,
"Quang Ninh K11 Minh Thanh, Ha Long, Quang Ninh, Vietnam",20.9522968,107.1033195,Tỉnh Quảng Ninh,tomtom_fix,
"Quang Ninh Nam Cau Trang, Ha Long, Quang Ninh, Vietnam",20.944746,107.10738,Tỉnh Quảng Ninh,tomtom_fix,
"Quang Ninh Province, Vietnam",17.403808,106.640013,Tỉnh Quảng Trị,tomtom_fix,Xã Quảng Ninh
"Quang Ninh Trung tam van hoa the thao Cam Pha, Cam Pha, Quang Ninh, Vietnam",21.009332,107.27356,Tỉnh Quảng Ninh,aqicn_fuzzy,
"Quang Ninh Yen My, Ha Long, Quang Ninh, Vietnam",20.9290249,106.8585154,Tỉnh Quảng Ninh,tomtom_fix,
"Thanh pho Uong Bi, Quang Ninh, Vietnam",21.0349941,106.7578651,Tỉnh Quảng Ninh,tomtom_fix,
"Quang Tri, Quang Tri, Vietnam",16.7386,107.0911,Tỉnh Quảng Trị,original,Xã Ái Tử
